ID,GAME_NAME,BEHAVIOUR,PLAY_PURCHASE,NONE;
"151603712,""The Elder Scrolls V Skyrim"",purchase,1.0,0";
"151603712,""The Elder Scrolls V Skyrim"",play,273.0,0";
"151603712,""Fallout 4"",purchase,1.0,0";
"151603712,""Fallout 4"",play,87.0,0";
"53875128,""BioShock"",play,0.8,0";
"53875128,""Trine"",purchase,1.0,0";
"53875128,""Trine"",play,0.8,0";
"53875128,""Sir, You Are Being Hunted"",purchase,1.0,0";
"53875128,""Sir, You Are Being Hunted"",play,0.8,0";
"53875128,""Next Car Game Sneak Peek 2.0"",purchase,1.0,0";
"53875128,""Next Car Game Sneak Peek 2.0"",play,0.7,0";
